company_name,company_size,domain,industry,job_title,seniority,inbound_message,source,lead_score,lead_label,justification
AtlasPay,120,https://atlaspay.com,Fintech,Head of Data,director,We’re rebuilding our data platform and evaluating vendors that can support model deployment and monitoring. Would love to see a demo and understand pricing.,blog,92.0,high,120-person fintech with Director-level data leader explicitly evaluating vendors for production platform rebuild; clear commercial intent with pricing and demo request from credible blog source.
SoloAI,1,https://gmail.com,Consulting,AI Consultant,founder,Just curious what you guys do and whether there’s a free tier I can test for client experiments.,unknown,28.0,low,Solo consultant seeking free tier for client experiments with no clear budget or production intent; unknown source and vague exploratory message.
Northstar Logistics,480,https://northstarlogistics.io,Logistics,VP Engineering,vp,We run several ML systems in production and are looking for better infra and observability. Interested in talking to sales.,referral,95.0,high,480-person logistics company with VP Engineering running production ML systems and actively seeking sales conversation; strong referral source and explicit infrastructure scaling needs.
EduML Club,15,https://eduml.club,Education,Student Researcher,entry,I’m working on a class project and wanted to see if your platform could be used for coursework.,blog,15.0,low,15-person education organization with entry-level student researcher seeking platform for coursework; no commercial intent or budget authority.
BrightHealth Systems,950,https://brighthealthsys.com,Healthcare,Director of ML Platform,director,We’re exploring options to standardize model deployment across teams. Can you share enterprise pricing and security docs?,paid_social,88.0,high,950-person healthcare enterprise with Director of ML Platform requesting enterprise pricing and security documentation; clear standardization intent across teams despite paid_social source.
Startup Stealth,8,https://stealthstartup.ai,AI Startup,Founder,founder,We’re early stage but plan to scale ML usage quickly. Looking for infra partners that won’t slow us down.,referral,55.0,medium,8-person AI startup with founder expressing scaling intent and seeking infrastructure partners; strong referral source but very early stage with unproven budget and timeline.
MarketingGenius,42,https://marketinggenius.co,Marketing,Marketing Manager,manager,I’m not super technical but we want to use AI more. Can someone explain if this is relevant for us?,email,42.0,medium,42-person marketing company with manager-level non-technical contact exploring AI relevance; unclear urgency or decision authority but legitimate business context.
Acme Manufacturing,300,https://acmemfg.com,Manufacturing,IT Manager,manager,We’ve heard about MLOps platforms but aren’t sure if we need one yet. Open to learning more.,blog,48.0,medium,"300-person manufacturing company with IT manager in exploratory learning phase; decent company size but unclear ML maturity, urgency, or final decision authority."
DataScale Inc,210,https://datascale.io,SaaS,Senior ML Engineer,senior,Currently running models on custom infra and hitting scaling limits. Looking for alternatives.,paid_social,78.0,high,210-person SaaS company with Senior ML Engineer actively hitting scaling limits on custom infrastructure; clear production pain point and technical evaluation intent.
Indie Hacker,1,https://indiehackers.com,Software,Indie Developer,founder,Does this work for solo builders or is it more enterprise-focused?,blog,22.0,low,Solo indie developer questioning enterprise fit with no stated commercial use case or company backing; exploratory blog source with minimal qualification signals.
FinTrust Bank,2200,https://fintrustbank.com,Banking,ML Platform Lead,director,We’re conducting a vendor evaluation for managed ML infrastructure. Please loop in sales.,referral,95.0,high,"Large enterprise bank (2200 employees) with director-level ML Platform Lead conducting formal vendor evaluation via warm referral; clear production intent, budget, and near-term buying window."
RecruitBot,25,https://recruitbot.ai,HR Tech,Product Manager,manager,We have a small ML team and want to ship faster without owning infra. Curious about costs.,paid_social,55.0,medium,Small company (25 employees) with manager-level PM exploring costs to ship faster; relevant use case but unclear budget/timeline and paid social source suggests less urgency than inbound referral.
Personal Project,1,https://github.com,Personal,Student,entry,I’m learning MLOps and wanted to try your platform for fun.,unknown,5.0,low,"Student with personal project explicitly stating learning/curiosity intent; no commercial application, budget, or decision-making authority."
RetailCo,650,https://retailco.com,Retail,Director of Engineering,director,We support multiple ML workloads and need better reliability guarantees. Interested in a walkthrough.,email,85.0,high,Mid-large retailer (650 employees) with Director of Engineering seeking reliability guarantees for multiple ML workloads; clear production pain point and email source indicates active evaluation.
VisionWorks,90,https://visionworks.ai,Computer Vision,CTO,c-suite/founder,We deploy vision models to customers and infra is a bottleneck. Let’s talk.,referral,90.0,high,"CTO/founder of computer vision company (90 employees) citing infrastructure bottleneck for customer deployments; warm referral, c-suite authority, and explicit commercial scaling intent."
Nonprofit AI Lab,30,https://nonprofitailab.org,Nonprofit,Research Lead,senior,We don’t have much budget but are exploring platforms for long-term use.,blog,25.0,low,Nonprofit research lead with explicit budget constraints and exploratory long-term use; no production urgency or enterprise deployment signals.
CloudOps Pro,180,https://cloudopspro.com,DevOps,Head of Platform,director,Our team manages ML infra internally but we’re evaluating buy vs build.,email,75.0,high,"Head of Platform at 180-person DevOps firm actively evaluating buy vs build for ML infrastructure; director-level authority, clear commercial intent, and structured decision process."
CryptoBot DAO,12,https://cryptobotdao.xyz,Crypto,Community Lead,manager,Not sure if this applies to us but wanted more info.,paid_social,15.0,low,"Small crypto DAO (12 employees) with uncertain fit and vague inquiry; no clear use case, budget signals, or decision-making clarity."
